"courseID";"prerequisiteID"
"CS116A";"CS146"
"CS116B";"CS116A"
"CS122";"CS146"
"CS123A";"CS46B"
"CS123B";"CS123A"
"CS131";"CS46B"
"CS133";"CS146"
"CS134";"CS146"
"CS134";"CS151"
"CS136";"CS146"
"CS144";"CS46B"
"CS146";"CS46B"
"CS147";"CS47"
"CS149";"CS146"
"CS149";"CS47"
"CS151";"CS46B"
"CS152";"CS151"
"CS153";"CS146"
"CS153";"CS154"
"CS153";"CS47"
"CS154";"CS46B"
"CS155";"CS146"
"CS156";"CS146"
"CS157A";"CS146"
"CS157B";"CS157A"
"CS157C";"CS157A"
"CS158A";"CS146"
"CS158A";"CS47"
"CS158B";"CS158A"
"CS159";"CS146"
"CS160";"CS100W"
"CS160";"CS146"
"CS160";"CS151"
"CS161";"CS160"
"CS166";"CS146"
"CS166";"CS47"
"CS168";"CS166"
"CS171";"CS146"
"CS174";"CS46B"
"CS175";"CS46A"
"CS175";"CS47"
"CS176";"CS146"
"CS46B";"CS46A"
"CS47";"CS46B"
